Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1,0.0211077,9.63219,-108.355
1.07114,0.0212155,10.1655,-109.498
1.14735,0.0228369,10.689,-110.732
1.22897,0.0213211,11.2026,-111.98
1.31641,0.0225641,11.7097,-113.359
1.41006,0.0204181,12.2074,-114.761
1.51038,0.0220813,12.6898,-116.237
1.61783,0.0214068,13.1653,-117.777
1.73293,0.0207067,13.6248,-119.376
1.85621,0.0220335,14.0658,-121.042
1.98827,0.021744,14.4934,-122.749
2.12972,0.0227654,14.9072,-124.518
2.28123,0.0221815,15.3032,-126.314
2.44353,0.0201103,15.681,-128.156
2.61737,0.0217993,16.0394,-130.026
2.80357,0.022055,16.3778,-131.913
3.00303,0.0206812,16.7023,-133.821
3.21667,0.0211212,17.0019,-135.733
3.44552,0.0206818,17.2831,-137.633
3.69064,0.0213182,17.5456,-139.548
3.95321,0.0198924,17.7904,-141.408
4.23445,0.0212742,18.0127,-143.264
4.5357,0.0206666,18.221,-145.068
4.85838,0.0194984,18.4101,-146.846
5.20403,0.0190017,18.5827,-148.595
5.57426,0.01974,18.74,-150.282
5.97083,0.0193358,18.8825,-151.887
6.39561,0.0229975,19.0086,-153.451
6.85061,0.0207509,19.126,-154.954
7.33798,0.0215565,19.2298,-156.388
7.86003,0.0214743,19.3234,-157.768
8.41922,0.020398,19.4073,-159.076
9.01819,0.0202024,19.4842,-160.343
9.65977,0.0216946,19.5487,-161.526
10.347,0.0207992,19.6093,-162.659
11.0831,0.0211821,19.6618,-163.737
11.8716,0.0218686,19.708,-164.745
12.7162,0.0202595,19.751,-165.692
13.6208,0.0208111,19.7889,-166.599
14.5899,0.0222187,19.8201,-167.453
15.6278,0.0219789,19.849,-168.256
16.7397,0.0217753,19.8749,-168.996
17.9306,0.0222869,19.8976,-169.71
19.2062,0.0205443,19.9185,-170.377
20.5726,0.0227284,19.9353,-170.996
22.0362,0.0218474,19.9507,-171.586
23.6039,0.0214552,19.9645,-172.133
25.2832,0.0219341,19.9761,-172.652
27.0819,0.0231408,19.9869,-173.149
29.0086,0.0210038,19.9967,-173.6
31.0723,0.0223749,20.0054,-174.021
33.2829,0.020201,20.0137,-174.424
35.6508,0.0225376,20.0187,-174.809
38.1871,0.02218,20.025,-175.146
40.9038,0.021775,20.0302,-175.476
43.8138,0.0225866,20.0343,-175.799
46.9309,0.022012,20.0399,-176.092
50.2697,0.0206477,20.0411,-176.357
53.846,0.0241892,20.0453,-176.606
57.6768,0.0236879,20.0461,-176.864
61.7801,0.0219718,20.0502,-177.087
66.1753,0.0208247,20.0526,-177.293
70.8832,0.0236583,20.053,-177.502
75.9261,0.0237586,20.0555,-177.692
81.3277,0.0227668,20.0574,-177.867
87.1136,0.0226314,20.0587,-178.047
93.3111,0.0233045,20.0607,-178.217
99.9495,0.022938,20.0603,-178.355
107.06,0.0166504,20.0656,-178.489
114.677,0.0211108,20.0631,-178.621
122.835,0.0205886,20.0654,-178.752
131.574,0.0220957,20.0649,-178.907
140.935,0.0229265,20.0654,-179.012
150.961,0.0184572,20.0673,-179.131
161.701,0.0215483,20.0674,-179.246
173.205,0.0190939,20.0679,-179.349
185.527,0.0192764,20.0709,-179.475
198.726,0.0211341,20.0703,-179.564
212.864,0.0245591,20.0663,-179.678
228.008,0.0190444,20.0695,-179.759
244.229,0.0210989,20.0695,-179.875
261.605,0.0237195,20.0683,-179.955
280.216,0.0217365,20.0707,179.917
300.151,0.0214807,20.0698,179.834
321.505,0.0221796,20.071,179.728
344.378,0.0211654,20.07,179.608
368.878,0.0225196,20.0701,179.505
395.121,0.0197242,20.0705,179.428
423.231,0.0182704,20.0706,179.291
453.341,0.021561,20.071,179.195
485.593,0.0248916,20.0685,179.07
520.14,0.0209146,20.0702,178.926
557.144,0.0229188,20.0703,178.809
596.781,0.0240075,20.07,178.667
639.238,0.0191533,20.0702,178.541
684.715,0.0206579,20.0705,178.371
733.428,0.0205645,20.068,178.229
785.607,0.0172692,20.068,178.088
841.497,0.0166579,20.0679,177.889
901.364,0.0232386,20.0649,177.743
965.489,0.0212623,20.066,177.554
1034.18,0.0219059,20.0643,177.346
1107.75,0.023085,20.0608,177.076
1186.56,0.0207868,20.0627,176.884
1270.98,0.0243725,20.0549,176.632
1361.4,0.0212953,20.0612,176.372
1458.25,0.0149646,20.0565,176.107
1562,0.0252367,20.0482,175.791
1673.12,0.0159675,20.0447,175.475
1792.15,0.0257381,20.0375,175.149
1919.65,0.0221785,20.0391,174.804
2056.22,0.0183775,20.0265,174.429
2202.51,0.020247,20.0247,173.997
2359.2,0.0272621,20.0122,173.59
2527.04,0.0270429,20.0065,173.12
2706.82,0.0260137,19.9953,172.6
2899.39,0.0307071,19.9849,172.087
3105.66,0.0306105,19.9731,171.547
3326.61,0.0280017,19.9556,170.922
3563.28,0.0244806,19.9406,170.3
3816.78,0.0304664,19.9239,169.625
4088.32,0.0290961,19.8993,168.897
4379.17,0.0300926,19.8775,168.121
4690.72,0.0275011,19.848,167.31
5024.43,0.0351979,19.8163,166.454
5381.88,0.0354928,19.7817,165.526
5764.77,0.0318227,19.7428,164.541
6174.89,0.0353346,19.6964,163.492
6614.19,0.040782,19.6469,162.41
7084.75,0.031466,19.5918,161.253
7588.78,0.0370989,19.5214,160.018
8128.67,0.0325363,19.453,158.711
8706.96,0.031385,19.37,157.387
9326.4,0.0468255,19.2703,155.943
9989.91,0.040462,19.1734,154.453
10700.6,0.0394073,19.0562,152.892
11461.9,0.0434898,18.933,151.268
12277.3,0.0492235,18.7826,149.57
13150.8,0.0494682,18.6284,147.804
14086.4,0.0407191,18.4581,146.007
15088.5,0.0463438,18.2649,144.169
16162,0.059997,18.0511,142.256
17311.8,0.0539216,17.8256,140.304
18543.4,0.0491309,17.5735,138.374
19862.6,0.0536253,17.3134,136.381
21275.7,0.0526126,17.0133,134.398
22789.3,0.0558634,16.7136,132.389
24410.6,0.0561879,16.381,130.44
26147.3,0.0545409,16.0388,128.437
28007.5,0.0465879,15.6685,126.425
30000,0.0655517,15.2724,124.571
